,Headline,Target
40,"The GOP-controlled Legislature has ""refused to act on at least 150"" appointees of Gov. Tony Evers.",true
41,End of eviction moratorium means “millions of Americans” could lose their housing in the middle of a pandemic.,true
42,"The Trump administration worked to free 5,000 Taliban prisoners.",true
43,"In Afghanistan, “over 100 billion dollars spent on military contracts.”",true
44,A photo shows two COVID-19 patients lying on the floor awaiting treatment in Florida.,true
45,"""We’ve got 115,000 miles of roads in this state and 90% is owned by the locals.”",true
46,"“324,000 pregnant people experience domestic violence during their pregnancy.”",true
47,A quorum-breaking Texas Democrat said in 2007 that mail-in ballot fraud “is the greatest source of voter fraud in this state.”,true
48,"“It’s been over 50 years since minimum (wage) and inflation parted ways, then over a decade since the federal minimum went up at all.”",true
49,“We have a record 9.3 million job openings in the U.S.”,true
50,"“Before the pandemic, just over 40,000 were on continuing UI claims. Now, there are well over 100,000 on state or federal UI benefits.”",true
51,It’s not currently “legal for a New York state student to have a glass of fresh whole milk.”,true
52,"“Since 1978, CEO compensation rose over 1,000% and only 11.9% for average workers.”",true
53,"“New Haven, Conn., had to issue bonds for a bridge after using funds for that bridge to pay for a police misconduct settlement.""",true
54,"Wisconsin’s 2019-21 budget produced the first positive general fund balance since 2000, and the governor’s proposed 2021-23 budget would return it to a deficit.",true
55,Opposition to having a fully elected Chicago Board of Education is in the “super minority.”,true
56,“We now have more job openings than we do people who are on unemployment. We have 60% more job openings today than we did the month before the pandemic hit the state of Texas.”,true
57,"“There are more job openings than there are people on unemployment"" in Iowa.",true
58,Says he was “one of the 2 (state Senators) who voted against” North Carolina’s body camera law.,true
59,“San Francisco had twice as many drug overdose deaths as COVID deaths last year.”,true
60,On Virginia’s new marijuana law: “You can have up to one pound with only a $25 fine.”,true
61,Foxconn “is the largest taxpayer in Racine County.”,true
62,"“The federal American Rescue Plan will purchase more food from farmers for distribution.""",true
63,“There is racism physically built into some of our highways.”,true
64,“Twice as many children are in Border Patrol custody under Biden than Trump peak in 2019.”,true
65,U.S. Rep. Matt Gaetz was the lone vote in the House against an anti-human trafficking bill.,true
66,"“There’s still (only) a handful of school districts"" doing no in-person instruction.",true
67,West Virginia “is the only state to decline in population over the last 70 years”,true
68,"“If you look at the average teacher pay compared to the average pay of your citizens, Virginia ranks last.”",true
69,"""Pot today is not the weed baby boomers were smoking.""",true
70,"""86% of Americans and 82% of gun owners support requiring all gun buyers to pass a background check.""",true
71,The Georgia House passed a bill that “makes it a misdemeanor to give food or water to voters waiting in line.”,true
72,“The filibuster was never an idea of the founding fathers.”,true
73,“Pipelines do not freeze. They are naturally insulated. They’re buried beneath the ground.”,true
74,"“The National Academy of Medicine points to a significant correlation between marijuana and psychosis, schizophrenia, and other psychotic disorders, particularly in teenagers where the risk of developing schizophrenia increases three fold.”",true
75,"“Becerra supports Bernie’s government takeover of your health care, eliminating your employer-provided coverage.”",true
76,“We’re the only major gas-producing state in the US that doesn’t have a severance tax.”,true
77,"“There is a direct connection between discriminatory policies within the USDA and the enormous land loss we have seen among Black farmers over the past century.""",true
78,"“Energy experts and State House Dems, among others, were warning of this (the Texas power blackout) for years.”",true
79,"""The Texas power grid is not part of the US power grid because they wanted to avoid federal regulation.”",true
80,"“We know mask mandates work. There’s enough evidence out there between counties that have done it and counties that haven’t.""",true
81,"Insulin prices have ""gone THRU THE ROOF for patients/taxpayers bc of manufacturer, health plan & PBM biz practices.""",true
82,"North Carolina Secretary of State Elaine Marshall ""has won more statewide races than probably anyone else alive.""",true
83,"“The United States is the only industrialized, modernized country that does not already have a paid family medical leave program in place.”",true
84,"Says Joe Biden “has issued more executive fiats than anyone in such a short period of time, ever, more than Obama, more than Trump, more than anyone.”",true
85,"""We put $330 million in general school aids — the largest in more than a decade.""",true
86,“There will be several thousand dollars in payments going to families with six-figure incomes who’ve had no income interruption whatsoever.”,true
87,Virginia ranks “in the bottom third of states” in administering the COVID-19 vaccine.,true
88,"""It takes quite a while on Election Day to load those ballots, which is why we have the 1 a.m. or 3 a.m. ballot dumping in Milwaukee.""",true
89,"“It wasn’t all women that lost jobs (in the December jobs report), it was mostly Black and Latina women. In fact, white women gained employment.”",true
90,The second presidential impeachment of Donald Trump was “the most bipartisan impeachment in American history.”,true
91,"Summer “protesters outside the White House were met with tear gas, rubber bullets, a full militarized response. While ... rioters were able to breach the Capitol.”",true
92,"Before COVID-19, “more Iowans (were) working than at any other time in our state history.""",true
93,"""This election actually was not unusually close.""",true
94,"In more than 60 cases, judges “looked at the allegations that Trump was making and determined they were without any merit.”",true
95,“Congress has one job here: to count electoral votes that have in fact been cast by any state.”,true
96,"“In my state, as in many other states, we have governors who are closing down businesses again.”",true
97,“Jurisdictions representing about 80% of WI residents have passed referendums or resolutions in favor of fair maps.”,true
98,"""New data shows in-person learning isn't driving spikes in cases.""",true
99,“Wisconsin is one of the few states that doesn’t allow absentee ballots to be processed before Election Day.”,true
100,"“Republican elected officials, a network of propaganda publications in the state and some radio shock jocks” were spreading “a lie” about his daughter breaking COVID-19 restrictions.",true
101,Says COVID-19 has killed more North Carolinians in a year than the flu has in 10 years.,true
102,"“People of color and those of not, they use marijuana at the same rate. People of color are three times more likely to get arrested and convicted.”",true
103,"When Donald Trump lost the Iowa caucus to Ted Cruz in 2016, ""he immediately cried that Cruz cheated.”",true
104,"""We heard from the Department of Homeland Security ... that this was probably the most secure election that’s ever been run in the United States.”",true
105,"""I’ve released 22 years of my tax returns. You can go online and look. (Donald Trump) hasn’t released one.”",true
106,"Farm bankruptcies are ""at an eight-year high.""",true
107,"Says Dan Forest has “missed almost half of the Board of Education meetings during the pandemic.""",true
108,My 2018 election was the first time Speaker Robin Vos has lost a Republican-held seat,true
109,Joe Biden “wants to get rid of something called ‘stepped up basis’” that reduces inheritance taxes.,true
110,"“While serving as Town Supervisor, Nate McMurray voted to raise taxes on homeowners.”",true
111,"Georgia has “almost 100,000 more (COVID-19) cases, almost twice as many deaths and almost 600 more nursing home deaths than North Carolina.”",true
112,“West Virginia has one of the greatest percentages of veterans in any state.”,true
113,“Wisconsin Republicans have not passed a single bill in 6 months.”,true
114,The president's own FBI director said that the greatest domestic terrorist threat is white supremacists.,true
115,"“That 5% (wealth tax) starts at $159,000 per family.”",true
116,“In the last 10 years less than half of adults in the U.S. received a flu shot.”,true
117,“(Republicans) have the power to overturn the (state of emergency) order by joint resolution and they refuse to do it.”,true
118,"“Over three months after receiving CARES Act relief funds from the state, the county has still not made those dollars available to help struggling Mid-Missourians.”",true
119,“Iran has stockpiled 10 times as much enriched uranium as it had” in 2016.,true
120,Abigail Spanberger “has voted with Nancy Pelosi over 90% of the time…”,true
121,Nick Freitas “supports a plan letting insurance companies deny coverage for preexisting conditions like asthma or diabetes.”,true
122,“Video showed police thank (Kyle Rittenhouse) & give him water prior to the killings”,true
123,"Police are ""20.8 times more likely to kill than be killed by a criminal.""",true
124,"“In one of the states that determined the outcome” of the 2016 presidential race, “the winning margin averaged out to just two votes per precinct, two votes.”",true
125,"Cal Cunningham ""voted for over $1 billion in new taxes.”",true
126,Says the U.S. Senate is “dominated by millionaires” and that he is “not one of them.”,true
127,"""The GOP lawyer who helped Kanye West get on the ballot in Wisconsin is actively working for Donald Trump's campaign.""",true
128,"Says 1 in 5 Texans did not have health insurance coverage before the pandemic, and now “nearly 1 in 3 Texans under the age of 65 don’t have access to health care insurance.”",true
129,"On home health workers’ low pay and limited benefits, “40% are still on SNAP or Medicaid.”",true
130,“Murders this year have spiked 27% in Philadelphia.”,true
131,"“Taxpayers spent $70,000,000 to develop this drug ( remdesivir).""",true
132,"""The average family in America forks over more of their hard-earned income to their local hospital than to the IRS.”",true
133,"“Homicides are intraracial. When you look at white-on-white crime, it's 84%. Right? Homicides. White people kill white people.”",true
134,"""Higher education is one of America's strongest export sectors. Over 1 million international students studied at American universities, (in the) 2018-19 school year. They contributed over $40 billion to the economy.”",true
135,Former U.S. Vice President Richard Mentor Johnson was a slave owner married to one of his slaves and father of two children with her.,true
136,The United States has not completed a “top-to-bottom review of our criminal justice system at the national level since 1965.”,true
137,"""North Carolina is one of four states"" that hasn't opened gyms.",true
138,"Says President Trump said coronavirus testing makes the U.S. look bad, ""so I said to my people, ‘Slow the testing down.’""",true
139,"Says a 1942 Milwaukee YMCA brochure shows children playing a violent, racist carnival game",true
140,"""Our health department, our city and our county declared racism as a public health crisis last year.”",true
141,Significantly more people died of Covid-19 in two months than died of overdoses all of last year or the year before.,true
142,"In COVID-19 crisis, “only 20% of African Americans had jobs where they could work from home.”",true
143,"“Infection rates in Allegany, Cattaraugus and Chautauqua counties have consistently been among the lowest in the state.”",true
144,"“Since the week ending March 14, Wisconsin actually saw a drop in tourism spending compared to last year of $1.7 billion.”",true
145,"""If Roe is overturned, Wisconsin has a law on the books that would immediately make abortion a crime.”",true
146,"“Today, the gap between African American and white homeownership is larger than it was in the late 1960s.”",true
147,“Research illustrates a clear correlation between vitamin D deficiencies and (higher) COVID-19 mortality rates.”,true
148,“Two-thirds of Americans disapprove of Donald Trump not wearing a face mask in public.”,true
149,Says gloves shouldn’t be worn in public because “if you are wearing the same set of gloves all over town you are only spreading germs everywhere you go.”,true
150,“New York is one of only 12 states where the average gallon of gas costs more than $2.00.”,true
151,Says it’s illegal to hold an absentee-only election or mail ballots to every registered voter,true
152,“Small trials” to test convalescent plasma therapy for coronavirus patients “seem to have had some degree of success.”,true
153,Says Texas “either is near the bottom or at the very bottom when it comes to testing per capita.”,true
154,"North Carolina is ""in the small minority of states that requires an absentee ballot to be signed by two witnesses or a notary public.""",true
155,Virginia has “lagged behind other states when it comes to (covid-19) testing.”,true
156,"“Until this week, they [OSHA] weren’t even enforcing these guidelines [for coronavirus]. Still today, OSHA is not specifying which rules employees must follow or how to keep their workers safe and healthy.”",true
157,"“The poor are, ironically, the most likely to be employed in the industries deemed ‘essential’ while their upper-class peers are freed to bunker down for weeks until the first death wave passes.”",true
158,"“Go look at other countries that went through exactly this, started to reopen, and then they saw the infection rate go back up again.”",true
159,“Africans living in China now being forced to sleep outside in the cold” as “Chinese nationals blame them for the rising number of new coronavirus cases in the country.”,true
160,"Republicans “have shown themselves willing to cut millions off their health insurance and eliminate preexisting condition protections for millions more, even in the middle of this public health crisis.""",true
161,"Before COVID-19, “Iowa had one of the lowest unemployment rates in the country, and many employers were scrambling to find qualified employees to fill their job openings.”",true
162,"Says of the coronavirus threat, “there was not a single suggestion by anyone, a doctor, a scientist, a political figure, that we needed to cancel Mardi Gras.”",true
163,Photo shows a crowded New York City subway train during stay-at-home order.,true
164,"“On February 7, the WHO warned about the limited stock of PPE. That same day, the Trump administration announced it was sending 18 tons of masks, gowns and respirators to China.”",true
165,“My mask will keep someone else safe and their mask will keep me safe.”,true
166,Says longstanding Food and Drug Administration regulations “created barriers to the private industry creating a test quickly” for the coronavirus.,true
167,“No city in the state can quarantine itself without state approval.”,true
168,"Says ""most"" NC legislators are in the ""high risk age group"" for coronavirus",true
169,Says Spectrum will provide free internet to students during coronavirus school closures.,true
170,"“Some states are only getting 50 tests per day, and the Utah Jazz got 58.”",true
171,“Whole of Italy goes into quarantine.”,true
172,“The average (Wisconsin) resident’s tax burden is at its lowest level in nearly 50 years while incomes continue to grow.”,true
173,"“You’ve raised a lot more money than I have, Bernie.”",true
174,"During his tenure as mayor of New York City, “street homelessness decreased by 28 percent.”",true
175,"""@BernieSanders receives strong support from the conservative & most rural part of Vermont.""",true
176,"“The majority of hunters now want universal background checks, the majority of Trump voters.”",true
177,"“From the moment we passed that signature legislation, Mike (Bloomberg) called it a disgrace.”",true
178,"Says since he took office, the City of Milwaukee has seen the creation of 7,000 new affordable housing units.",true
179,“Over 50% of the people now in the House and state Senate have not been born in Virginia.”,true
180,National polls have “never predicted who will be president from our party. Carter was in the single digits a few months before caucuses. Bill Clinton was. Obama — 20 points behind in the national polls roughly.”,true
181,"“Traditionally, the Speaker says: ‘Members of Congress, I have the high privilege and distinct honor of presenting to you the President of the United States.’ (Tonight) Speaker Pelosi said, ‘Members of Congress, the President of the United States.’ """,true
182,"Says ""10% of U.S. children are Texans.""",true
183,"""The president of the United States already has the legal authority to reduce the price of many commonly used prescription drugs.""",true
184,"""More than 80% of Republicans think we ought to at least be doing universal background checks.""",true
185,"""The American people are overwhelmingly with us"" in calling witnesses in Senate trial",true
186,"""Mayor Bloomberg helped lower the number of uninsured by 40 percent, covering 700,000 more New Yorkers""",true
187,"""Twitter is banned in Iran.""",true
188,"Witnesses have been part of ""every other impeachment trial the Senate has ever had.""",true
189,"""We have the lowest corporate tax rate since 1968.""",true
190,"Florida is ""the 45th in state education funding.""",true
191,"In 1988, in response to Iran’s attack on the U.S.S. Samuel Roberts, President Ronald Reagan ""destroyed half of Iran’s Navy.""",true
192,"""We end the $100 billion a year that the health care industry makes.""",true
193,"""Look at the men on this stage. Collectively, they have lost 10 elections. The only people on this stage who have won every single election that they’ve been in are the women, Amy and me.""",true
194,"A man at ""the storming of the U.S. embassy"" in Iraq visited the White House in 2011.",true
195,"The United States is the only nation ""that grants legal permanent residency to more than a million people per year.""",true
196,"""Last year, 36 million Americans didn’t have a prescription filled because they couldn’t afford it.""",true
197,"""If you're a black woman, you're 320% more likely to die from complications in childbirth.""",true
198,"Says Pete Buttigieg ran statewide in Indiana and ""lost by 20 points.""",true
199,"Real wages ""went up last year 1.1%.""",true
200,"California firefighters decided ""to speak out"" against President Trump because his tweet about the state’s wildfires ""contained so much misinformation.""",true
201,"Says a new annual report shows that ""West Virginia’s tourism industry has grown for the second consecutive year, reversing years of decline and outpacing national growth by 58 percent.""",true
202,"A ""study showed as many as one in four people have had a package stolen from their residence.""",true
203,Says the cartels are so bad in a Mexican border state that the U.S. government issued a ‘Do Not Travel’ warning -- the same warning it issued for Syria.,true
204,"""I am the only member of Congress that voted for both inquiries -- the Clinton inquiry and now the Trump inquiry.""",true
205,"""If we make no changes over the next 10 years, Americans will reach into their pockets and pay out about $11 trillion on insurance premiums, copays, deductibles and uncovered medical expenses.""",true
206,"""On average, one person dies by suicide every 22 hours in West Virginia.""",true
207,"""90,000 Californians are unsheltered and homeless.""",true
208,"The impeachment inquiry hearings ""going on behind closed doors over which Congressman Schiff is presiding—they are consistent with the rules"" of the U.S. House of Representatives.",true
209,"""President Trump has sent 14,000 American troops to the (Middle East) region since May. So he can't tell his political rallies that he's getting troops out of endless wars when he's sending 14 times the amount back into the region.""",true
210,"Americans ""say that what they want is a choice"" to join a single-payer system like Medicare rather than ending private insurance.",true
211,"""West Virginia Department of Education reported over 10,000 children and youth have been identified as homeless for the 2018-2019 school year.""",true
212,"Millionaires are eligible for food stamps, but ""Donald Trump came along and decided to put a stop to it.""",true
213,"""About 95 percent of America’s production of ethylene is produced on the Gulf Coast in Texas and Louisiana.""",true
214,"""Meth production in MO has cratered over last decade. MO Hwy Patrol reported 1,326 meth lab seizures in 2006, only 50 in 2018.""",true
215,"Minneapolis ""city government preemptively informed the Target Center that it would be responsible for $530,000 in security and other costs"" related to a Trump rally, ""more than 26 times the estimated security costs for a 2009 Target Center health care rally held by President Barack Obama.""",true
216,"Says in the 2016 presidential election, ""I won that one by 42 points -- 42 points -- West Virginia.""",true
217,"""More than half of death row prisoners are people of color.""",true
218,"""U.S. agricultural & food exports are expected to increase more than $2 billion annually under #USMCA""",true
219,"Says people convicted of felonies or under restraining orders ""can buy a firearm without going through a background check.""",true
220,"""One unnamed donor gave $17 million to the Leo-affiliated Judicial Crisis Network to block the nomination of Judge Merrick Garland and to support Gorsuch; then a donor — perhaps the same one — gave another $17 million to prop up Kavanaugh.""",true
221,"Thirty-four of the 47 men depicted in the famous ""Declaration of Independence"" painting were slaveholders.",true
222,"""There are 390 million guns out on the streets of a country of 329 million people.""",true
223,"""America has more governors who’ve worn blackface than black governors.""",true
224,"""The last time people (created a Hollywood blacklist), people ended up killing themselves … They were accused, and they lost their right to work.""",true
225,"Florida’s red flag gun law has been used ""about five times a day.""",true
226,"""The law says that mental health must be treated the same as physical health,"" but coverage by health insurers is unequal.",true
227,"""If you go back, you can see Wayne LaPierre, who runs the NRA, testifying in front of Congress in favor of background checks 15 or 20 years ago.""",true
228,"""More Americans are uninsured today than when (President Donald) Trump took office.""",true
229,"Says of El Paso that some years, ""in a city of almost 700,000, we had five murders the entire year. Our average over the last 10 years is 18 (murders per year). We exceeded that average just on one day"" after a gunman opened fire at a Walmart in the city.",true
230,"""Studies show at the minimum wage, you can’t rent a two-bedroom apartment anywhere in the United States...a modest, two-bedroom apartment.""",true
231,"Since 2014, there has been a 25% reduction in crime in communities at the Texas-Mexico border.",true
232,"Rep. Ilhan Omar ""voted yes"" to ""provide further funding for the 9/11 First Responders Victims Fund"" while Sen. Rand Paul ""voted no.""",true
233,"""Triggering leftists, Trump's reelection campaign is selling plastic straws.""",true
234,"""Food Stamp participation hits 10 year low.""",true
235,"""In 2017, we had more marijuana possession arrests in our country than all other violent crimes combined.""",true
236,"""The wealthiest three families now own more wealth than the bottom half of the country.""",true
237,"""The typical black family in this country has one-tenth the wealth of the typical white family.""",true
238,"""Wisconsin is a Top 10 state for health care coverage.""",true
239,"In 2018, when he ran for senator, ""young voter turnout in early voting was up 500%. We won more votes than any Democrat has in the history of the state of Texas.""",true
240,"""The United States is the ONLY industrialized country without universal healthcare.""",true
241,"""Just the last three weeks, on average about 23,000 women, children, men are coming over across the border illegally as family units or as unaccompanied children.""",true
242,"""Most research shows that (UW salaries) are a little behind, and (in) some areas we're behind more than others.""",true
243,"""The VA negotiates prescription drug prices. Medicare doesn't do that.""",true
244,"Says immigrant military service members applying for U.S. citizenship ""are getting rejected at higher numbers than those who are not veterans.""",true
245,"""We saw the prison population expand and vacancy rates for correctional officers go from 2.9% to 15.2%"" over the last eight years.",true
246,"""We beat the NRA with tough, tough gun laws"" in Colorado.",true
247,"""In fact, ‘high Crimes and Misdemeanors’ is not defined in the Constitution and does not require corresponding statutory charges. The context implies conduct that violates the public trust—and that view is echoed by the Framers of the Constitution and early American scholars.""",true
248,"""I actually in 2005 ran on Medicare for all.""",true
249,"""We’ve had a 30% increase in suicides in this country in just 15 years.""",true
250,"""Suicide is the second-leading cause of death among 15-19 year olds and 25-34 year olds in Missouri.""",true
251,"""Texas actually leads in the number of (Confederate) monuments removed.""",true
252,"""Over 30 states passed the legislation to ban powdered alcohol,"" and Missouri is not one of them",true
253,"""I’m one of the first guys to introduce a climate change bill, way, way back in ‘87.""",true
254,"""99.4% of businesses in Wisconsin are small businesses,"" and they employ ""nearly half of our workforce.""",true
255,"""You've got millions of families paying 40, 50, 60% of their limited incomes to put a roof over their heads.""",true
256,"""The unemployment rate for Wisconsin workers has reached historic lows. It’s never been this low before, ever, ever, ever.""",true
257,"Speaking of the financial crisis that gained traction in 2007, ""I talked about it to anyone who would listen, a crisis is coming.""",true
258,"""The enumeration clause speaks to the count of every individual, and not just Americans, not just citizens.""",true
259,"""All the ponds in Missouri for which we have data are causing groundwater contamination. … This is a statewide issue.""",true
260,"Says 74% of people in Texas are ""crammed into 4% of the land.""",true
261,"""Big pharmaceuticals pay off — they literally pay off — generics to keep the prices and the competition off the market.""",true
262,"Says ""5 out of 10"" GOP candidates don’t live in North Carolina’s 9th Congressional District.",true
263,"""In my own state of Vermont, from the very first days of our state's history, what our Constitution says is that everybody can vote. That is true. So people in jail can vote.""",true
264,"""I was the only member of the Senate – Republican or Democrat – who has consistently voted against efforts to use the so called ‘nuclear option’ to change the rules of the Senate.""",true
265,"""West Virginia’s exports increased for the second year in a row in 2018, reaching $8.1 billion. Additionally, West Virginia’s export growth rate was 14.2%, nearly double the national average of 7.6%.""",true
266,"""Our state has fewer science, technology, engineering and math graduates than any neighboring state.""",true
267,"""Since 2011, we have documentation of 1,671 dead bodies we have recovered in Texas, many in Brooks County.""",true
268,"""The 2008 election was the first election in which voters of color comprised over 25 percent of the electorate, and that number is going up.""",true
269,"""Currently, 23 percent of our military's infrastructure is graded as 'poor' while 9 percent is 'failing.'""",true
270,"""In New York State, Democrats blocked a Bill expanding College Tuition for Gold Star families after approving aid for illegal immigrants.""",true
271,"""There have been zero reported instances of any child born alive after an abortion in Texas.""",true
272,"The Affordable Care Act ""provided over 200,000 West Virginians with health care coverage.""",true
273,"""Wisconsin (has) the highest infant mortality rate for black babies nationwide.""",true
274,"""Like every budget passed by the Senate since I have been lieutenant governor, Senate Bill 1 is within the spending limit set by the Texas Constitution.""",true
275,"Says all North Carolina teachers do not currently get a ""duty free lunch break.""",true
276,"""Missouri ranks 45th in the nation in per capita state fiscal support for higher education and Missouri State is last among Missouri schools.""",true
277,"""About 80 percent of (the manufacturing and agriculture) tax credit goes to claimants who are making $1 million or more.""",true
278,"""Right now, 1 in 4 Texas women of reproductive age are uninsured, totaling 1.5 million Texas women.""",true
279,"For Cabinet posts, ""I have the best voting record against Trump nominees of anyone else running for president""",true
280,"Says an ICE detainer request ""is not a valid warrant.""",true
281,"29 states still don’t have ""comprehensive protections"" for people in the LGBTQ community.",true
282,"Says ""zero"" African Americans have presented to the House Budget Committee in 2019.",true
283,"""We are always going to need architects, doctors, we’re going to need professionals with four-year degrees. But 65 to 70 percent of the people in Missouri don’t have degrees.""",true
284,"""Over the last eight years, we’ve shown that even though we’ve cut taxes by $8 billion, revenues continue to grow.""",true
285,"California has ""the largest death row in the Western Hemisphere, the largest death row in the United States of America — two times the size of the next largest state: Florida.""",true
286,"The Boeing 737 Max 8, the type of plane that crashed in Ethiopia, continues to fly in the United States, despite the FAA saying ""software updates are likely coming.""",true
287,"""Since 2011, the gap in high school graduation rates between African-American students and all students has been cut in half, from 6.4 percent to 3.1 percent.""",true
288,"""We maintain this (Missouri highway) system with one of the lowest levels of funding in the country.""",true
289,"Virginia House ""Republicans have had more African-Americans on key committees than when the Democrats were in control.""",true
290,"West Virginia has ""the nation’s lowest workforce participation rate, which hovers around 50 percent, when the national average is about 63 percent.""",true
291,"""More than a million Californians"" do not have ""clean water to bathe in or drink.""",true
292,"""Today’s minimum wage worker making $7.25 an hour has less buying power than a minimum wage worker in the 1960s.""",true
293,"""I have more military experience than anybody who’s arrived behind that desk since George H.W. Bush.""",true
294,"On extreme-risk guns laws, ""This idea has passed Republican legislatures in other states and has been signed by Republican governors.""",true
295,"A bill passed by GOP legislators ""makes it harder to prosecute people and groups that violate campaign finance laws.""",true
296,"""The facts are, the majority of opioids and all kinds of other things that are connected to the opioids are coming through the point of entry.""",true
297,"New York has passed ""the best paid family leave"" program in the United States of America.",true
298,"The National Defense Authorization Act for fiscal year 2019 ""includes the largest pay raise in nearly 10 years.""",true
299,"""Adjusting for inflation, West Virginia’s median household income has not grown in a decade.""",true
300,"The poverty rate in West Virginia ""was 19.1 percent, the fourth-highest in the country.""",true
301,"""There is nothing that we have done on Amazon that we have not done with hundreds of other projects.""",true
302,"""In 2017, West Virginia’s $43,469 median household income was $16,867 below the national average, ranking 50th.""",true
303,"Says Ann Coulter said, ""I am a settler. I am descended from settlers — not from immigrants.""",true
304,"At General Motors, CEO Mary Barra ""took home almost 22 MILLION DOLLARS last year alone (295x your company's average employee).""",true
305,"The United States ""spends more on potato chips than we do on ALL energy R&D.""",true
306,"Missouri ""had the largest amount of millennial Democrats running than any other state in the country.""",true
307,"""In fact 7 out of 10 new jobs in America are created by small businesses.""",true
308,"""Middle-class income rose to a record level in 2017 as the strong economy lifted the fortunes of more Americans.""",true
309,"""We have lost more lives in the last two years"" due to opioids ""than all of the lives lost during the Vietnam War.""",true
310,"Says Joe Manchin ""refused to commit to Kavanaugh until AFTER the Senate had the votes.""",true
311,Trump supporters are heading to the border as the migrant caravan approaches.,true
312,"""Do you know that New York State pays out way more than they ever get back?""",true
313,"""West Virginia added the highest percentage of new construction jobs in 2017 in the United States, at 14.4%. This amounted to 4,300 additional jobs! In fact, #WV was the only state with double-digit growth!""",true
314,"""Household income among Hispanic Americans has just set a new record high.""",true
315,"West Virginia ""has the highest overdose rate per capita of any state in our nation.""",true
316,"""Matt Rosendale supports plans that don’t have to cover (pre-existing conditions).""",true
317,"On spending growth under Gov. Andrew Cuomo: ""Despite the fact that you continue to suggest that you’ve been able to hold the two percent, you haven’t.""",true
318,"""My opponent is endorsed by Citizens United.""",true
319,"""Thousands of folks are opening West Virginia E-ZPass accounts.""",true
320,"""Black lung cases are at a 25-year high.""",true
